Company,TypeName,Ram,Weight,Price,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os
Lenovo,Notebook,4.0,1.9,10.882315804880689,0,0,141.21199808219862,Intel Core i3,500.0,0.0,Intel,Others
Dell,Notebook,8.0,1.98,10.56311104105693,0,0,141.21199808219862,Intel Core i5,1000.0,0.0,Intel,Others
HP,Ultrabook,8.0,2.04,11.064804181259648,0,0,141.21199808219862,Intel Core i5,0.0,256.0,Intel,Windows
Asus,2 in 1 Convertible,8.0,2.26,10.977716980635757,1,0,141.21199808219862,Intel Core i7,0.0,256.0,Nvidia,Windows
Dell,Ultrabook,8.0,2.04,10.882315804880689,1,1,141.21199808219862,Intel Core i7,0.0,256.0,Intel,Windows
Asus,Notebook,8.0,2.1,11.018720942220474,0,0,127.33567457123112,Intel Core i7,1000.0,128.0,Nvidia,Windows
Dell,2 in 1 Convertible,8.0,2.04,10.882315804880689,1,0,141.21199808219862,Intel Core i5,1000.0,0.0,Intel,Windows
Asus,Notebook,4.0,2.0,10.882315804880689,0,0,141.21199808219862,AMD Processor,500.0,0.0,AMD,Windows
Toshiba,Notebook,8.0,2.04,11.237488118934884,0,1,141.21199808219862,Intel Core i7,0.0,256.0,Nvidia,Windows
Asus,Notebook,8.0,1.65,10.882315804880689,0,0,141.21199808219862,AMD Processor,0.0,0.0,AMD,Windows
Asus,Gaming,8.0,2.2,10.83096982484206,0,0,141.21199808219862,Intel Core i7,1000.0,0.0,Nvidia,Windows
HP,Notebook,8.0,2.04,11.120757161229305,0,0,157.3505121487356,Intel Core i5,0.0,256.0,Intel,Windows
Asus,Notebook,4.0,2.04,10.882315804880689,0,0,141.21199808219862,Intel Core i5,1000.0,0.0,Nvidia,Others
Asus,Notebook,8.0,2.06,11.144911042902732,0,1,141.21199808219862,Intel Core i7,1000.0,128.0,Intel,Windows
Acer,Notebook,4.0,2.2,10.882315804880689,0,1,141.21199808219862,Other Intel Processor,0.0,0.0,Intel,Others
HP,Notebook,8.0,2.04,11.056428922922915,0,1,141.21199808219862,Intel Core i5,0.0,256.0,Intel,Windows
MSI,Gaming,8.0,1.8,10.882315804880689,0,0,141.21199808219862,Intel Core i7,1000.0,256.0,Nvidia,Windows
HP,Notebook,8.0,1.63,10.913845510249091,0,0,157.3505121487356,Intel Core i7,0.0,256.0,Nvidia,Windows
Lenovo,Notebook,6.0,2.04,10.450993742936223,0,0,141.21199808219862,Intel Core i5,1000.0,0.0,Nvidia,Windows
Lenovo,Ultrabook,8.0,2.04,10.882315804880689,0,1,157.3505121487356,Intel Core i5,0.0,0.0,Intel,Windows
Acer,Netbook,4.0,2.04,10.882315804880689,0,1,135.0942111925629,Other Intel Processor,0.0,0.0,Intel,Others
Lenovo,Notebook,8.0,2.04,10.658921971998408,0,1,157.3505121487356,Intel Core i7,0.0,256.0,AMD,Others
Dell,Notebook,6.0,2.3,10.882315804880689,0,0,141.21199808219862,Intel Core i3,1000.0,0.0,Intel,Windows
HP,2 in 1 Convertible,4.0,2.04,10.882315804880689,1,0,141.21199808219862,Intel Core i5,0.0,256.0,Intel,Windows
Dell,Ultrabook,8.0,2.04,10.812765077263236,0,1,141.21199808219862,Intel Core i7,0.0,256.0,AMD,Windows
HP,Gaming,8.0,2.04,11.105659536357711,0,1,141.21199808219862,Intel Core i7,1000.0,128.0,Nvidia,Windows
HP,Gaming,8.0,2.04,10.882315804880689,0,0,127.33567457123112,Intel Core i7,1000.0,0.0,Nvidia,Windows
MSI,Gaming,8.0,2.04,10.882315804880689,0,0,127.33567457123112,Intel Core i7,1000.0,128.0,Nvidia,Windows
HP,Notebook,8.0,2.04,11.130176383145796,0,0,127.33567457123112,Intel Core i7,1000.0,0.0,Nvidia,Windows
Lenovo,Gaming,8.0,2.04,11.21835894902589,0,0,141.21199808219862,Intel Core i7,0.0,256.0,Nvidia,Others
Asus,Notebook,4.0,2.0,10.882315804880689,0,0,141.21199808219862,Intel Core i5,0.0,256.0,Intel,Windows
Dell,Notebook,4.0,1.65,10.510802297245792,0,0,141.21199808219862,Intel Core i3,0.0,128.0,Intel,Windows
Lenovo,Notebook,8.0,1.95,10.882315804880689,0,1,141.21199808219862,Intel Core i5,0.0,256.0,Intel,Windows
Lenovo,2 in 1 Convertible,4.0,2.1,10.740600003012675,1,1,141.21199808219862,Intel Core i5,0.0,256.0,Intel,Windows
HP,Notebook,4.0,1.54,10.978617394068182,0,0,157.3505121487356,Intel Core i5,0.0,256.0,Intel,Windows
Lenovo,Notebook,8.0,2.29,10.882315804880689,0,0,141.21199808219862,Intel Core i3,1000.0,0.0,Intel,Windows
Dell,Notebook,4.0,2.18,10.882315804880689,0,0,141.21199808219862,Intel Core i3,1000.0,0.0,Intel,Windows
Dell,Ultrabook,8.0,2.04,10.776844060703754,1,1,141.21199808219862,Intel Core i5,0.0,128.0,Intel,Windows
Dell,Workstation,8.0,2.23,10.882315804880689,0,0,141.21199808219862,Other Intel Processor,1000.0,0.0,Nvidia,Windows
HP,Notebook,4.0,2.04,10.978617394068182,0,0,141.21199808219862,Intel Core i5,0.0,256.0,Intel,Windows
Acer,2 in 1 Convertible,8.0,2.04,11.02220830408089,1,1,157.3505121487356,Intel Core i7,0.0,256.0,Intel,Windows
Lenovo,Notebook,8.0,2.04,10.882315804880689,0,0,141.21199808219862,Intel Core i7,0.0,256.0,Nvidia,Windows
Dell,Gaming,8.0,2.04,11.18267988243989,0,1,141.21199808219862,Intel Core i7,1000.0,128.0,Nvidia,Windows
Lenovo,Notebook,4.0,2.2,10.882315804880689,0,0,141.21199808219862,Other Intel Processor,1000.0,0.0,Intel,Others
Lenovo,Ultrabook,8.0,1.7,10.882315804880689,0,1,141.21199808219862,Intel Core i7,0.0,256.0,Nvidia,Windows
Razer,Gaming,8.0,2.04,10.882315804880689,1,0,141.21199808219862,Intel Core i7,0.0,256.0,Nvidia,Windows
Dell,Workstation,8.0,2.17,10.882315804880689,0,1,141.21199808219862,Intel Core i7,0.0,256.0,Nvidia,Windows
Acer,Notebook,8.0,2.2,10.46628456073464,0,0,141.21199808219862,AMD Processor,0.0,256.0,AMD,Windows
HP,Notebook,4.0,2.1,10.55758616512496,0,1,141.21199808219862,Intel Core i5,500.0,0.0,Intel,Windows
Lenovo,Ultrabook,8.0,2.04,10.882315804880689,0,1,157.3505121487356,Intel Core i7,0.0,256.0,Intel,Windows
Acer,Notebook,4.0,2.1,10.882315804880689,0,0,141.21199808219862,Intel Core i3,0.0,128.0,Intel,Others
HP,Notebook,4.0,2.1,10.534467797525002,0,0,141.21199808219862,Intel Core i3,0.0,128.0,Intel,Windows
Asus,Ultrabook,8.0,2.04,10.908984051962848,0,1,141.21199808219862,Intel Core i5,0.0,256.0,Nvidia,Windows
Toshiba,Notebook,4.0,2.0,10.481345086360362,0,0,141.21199808219862,Intel Core i3,500.0,0.0,Intel,Windows
Lenovo,Ultrabook,8.0,2.04,11.219074000897615,1,1,141.21199808219862,Other Intel Processor,0.0,256.0,Intel,Windows
Lenovo,2 in 1 Convertible,8.0,2.04,11.18267988243989,1,1,141.21199808219862,Intel Core i7,0.0,256.0,Intel%%,Windows
Lenovo,Notebook,8.0,2.2,10.882315804880689,0,0,141.21199808219862,Other Intel Processor,1000.0,0.0,Intel,Others
Asus,Gaming,8.0,2.04,11.118388427393754,0,0,141.21199808219862,Intel Core i7,1000.0,128.0,Nvidia,Windows
Dell,Notebook,8.0,2.2,10.594313360795072,0,0,141.21199808219862,Intel Core i7,0.0,256.0,AMD,Others
HP,2 in 1 Convertible,4.0,1.63,10.525211768465944,1,1,157.3505121487356,Intel Core i3,0.0,128.0,Nvidia,Windows
Dell,Gaming,8.0,2.04,10.882315804880689,0,1,127.33567457123112,Intel Core i7,1000.0,256.0,Nvidia,Windows
Lenovo,Gaming,8.0,2.04,10.695781181367428,0,1,141.21199808219862,Intel Core i5,0.0,256.0,Nvidia,Windows
Dell,Ultrabook,8.0,1.88,10.882315804880689,0,0,141.21199808219862,Intel Core i7,0.0,256.0,Intel,Windows
HP,Notebook,8.0,2.04,10.765658261746038,0,0,141.21199808219862,Intel Core i5,0.0,256.0,Nvidia,Windows
Asus,Ultrabook,8.0,1.63,11.267217235406594,0,0,141.21199808219862,Intel Core i7,0.0,256.0,Nvidia%%,Windows
Samsung,Notebook,8.0,2.04,10.882315804880689,0,0,141.21199808219862,Intel Core i7,1000.0,128.0,Nvidia,Windows
Asus,Notebook,8.0,2.04,11.02307824758943,0,0,141.21199808219862,Intel Core i5,0.0,256.0,Intel,Windows
Dell,Notebook,8.0,1.6,11.002618186839925,0,0,141.21199808219862,Intel Core i5,0.0,256.0,Intel,Windows
HP,Notebook,8.0,2.04,10.773501439207063,0,0,127.33567457123112,Intel Core i5,1000.0,0.0,Nvidia,Windows
Dell,Gaming,8.0,2.04,10.83096982484206,0,0,141.21199808219862,Intel Core i5,0.0,0.0,Nvidia,Windows
MSI,Gaming,8.0,2.04,10.882315804880689,0,0,127.33567457123112,Intel Core i7,1000.0,256.0,Nvidia,Windows
Chuwi,Notebook,4.0,1.89,10.882315804880689,0,0,141.21199808219862,Other Intel Processor,0.0,0.0,Intel,Windows
HP,Netbook,8.0,2.04,10.882315804880689,0,0,135.0942111925629,Other Intel Processor,0.0,0.0,Intel,Windows
Lenovo,Notebook,8.0,2.04,10.882315804880689,0,0,135.0942111925629,Other Intel Processor,0.0,0.0,Intel,Windows
Acer,Notebook,4.0,2.04,10.882315804880689,0,0,141.21199808219862,Intel Core i3,1000.0,0.0,Nvidia,Windows
MSI,Gaming,8.0,2.04,10.882315804880689,0,0,127.33567457123112,Intel Core i7,1000.0,256.0,Nvidia,Windows
Dell,Ultrabook,8.0,2.04,11.288114524334732,0,0,141.21199808219862,Intel Core i5,0.0,256.0,Intel,Windows
Lenovo,2 in 1 Convertible,8.0,2.04,10.959350991490268,1,1,141.21199808219862,Intel Core i7,0.0,256.0,Intel,Windows
Microsoft,Ultrabook,8.0,2.04,10.882315804880689,1,0,141.21199808219862,Intel Core i7,0.0,256.0,Intel,Windows
Lenovo,Notebook,4.0,2.1,10.882315804880689,0,0,141.21199808219862,Intel Core i5,500.0,0.0,Intel,Windows
Lenovo,Notebook,4.0,2.2,10.882315804880689,0,0,141.21199808219862,Other Intel Processor,0.0,128.0,Intel,Windows
HP,Gaming,8.0,2.04,11.2874471903093,0,1,127.33567457123112,Intel Core i7,1000.0,256.0,Nvidia,Windows
Lenovo,Notebook,4.0,2.04,10.882315804880689,0,1,141.21199808219862,Intel Core i3,0.0,128.0,Intel,Windows
Asus,Notebook,8.0,2.0,11.144911042902732,0,1,141.21199808219862,Intel Core i7,1000.0,256.0,Nvidia,Windows
Asus,Gaming,8.0,2.04,11.144911042902732,0,0,127.33567457123112,AMD Processor,1000.0,256.0,AMD,Windows
Dell,Ultrabook,8.0,2.04,11.204674904025437,1,0,141.21199808219862,Intel Core i7,0.0,256.0,Intel,Windows
Lenovo,Notebook,4.0,2.19,10.882315804880689,0,0,141.21199808219862,AMD Processor,500.0,0.0,AMD,Windows
HP,Notebook,8.0,1.91,10.882315804880689,0,0,141.21199808219862,AMD Processor,0.0,128.0,AMD,Windows
Lenovo,Notebook,8.0,2.04,10.882315804880689,0,1,141.21199808219862,Other Intel Processor,0.0,256.0,Nvidia,Windows
Lenovo,Notebook,8.0,2.04,10.776844060703754,0,1,141.21199808219862,Intel Core i7,1000.0,0.0,Nvidia,Windows
Lenovo,2 in 1 Convertible,8.0,2.04,10.882315804880689,1,1,141.21199808219862,Intel Core i5,0.0,256.0,Intel,Windows
MSI,Gaming,8.0,2.3,11.039464987704202,0,0,141.21199808219862,Intel Core i7,1000.0,128.0,Nvidia,Windows
HP,Notebook,6.0,1.58,10.46628456073464,0,1,157.3505121487356,Intel Core i5,0.0,256.0,Nvidia,Windows
HP,Ultrabook,8.0,2.04,11.18267988243989,1,1,141.21199808219862,Intel Core i7,0.0,256.0,Intel,Windows
HP,Notebook,8.0,2.04,11.02220830408089,0,1,141.21199808219862,Intel Core i5,0.0,256.0,Intel,Windows
Lenovo,Notebook,4.0,2.2,10.882315804880689,0,0,141.21199808219862,AMD Processor,0.0,128.0,AMD,Windows
Dell,Notebook,4.0,2.29,10.882315804880689,0,0,141.21199808219862,Intel Core i3,500.0,0.0,Intel,Windows
Lenovo,Notebook,8.0,2.2,10.53941655276426,0,0,141.21199808219862,Intel Core i7,1000.0,0.0,Nvidia%%,Others
Dell,Notebook,4.0,1.93,10.841452101115571,0,0,141.21199808219862,Intel Core i5,500.0,0.0,Intel,Windows
Asus,Notebook,4.0,2.04,10.882315804880689,0,0,141.21199808219862,Intel Core i3,1000.0,0.0,Intel,Windows
Dell,Ultrabook,8.0,2.04,10.977716980635757,1,0,141.21199808219862,Intel Core i5,0.0,256.0,Intel,Others
Asus,Gaming,8.0,2.04,10.882315804880689,0,0,127.33567457123112,AMD Processor,1000.0,256.0,AMD,Windows
Chuwi,Notebook,6.0,2.04,10.882315804880689,0,1,141.21199808219862,Other Intel Processor,0.0,0.0,Intel,Windows
Mediacom,Notebook,4.0,2.04,10.882315804880689,0,1,141.21199808219862,Other Intel Processor,32.0,0.0,Intel,Windows
Dell,Notebook,4.0,2.18,10.882315804880689,0,0,141.21199808219862,Intel Core i5,0.0,128.0,AMD,Others
Acer,Notebook,4.0,2.1,10.882315804880689,0,0,141.21199808219862,Other Intel Processor,1000.0,0.0,Intel,Windows
HP,Notebook,8.0,1.94,10.882315804880689,0,0,141.21199808219862,Other Intel Processor,0.0,0.0,Intel,Windows
Asus,Gaming,8.0,2.04,10.882315804880689,0,1,127.33567457123112,Intel Core i7,0.0,256.0,Nvidia,Windows
Lenovo,Notebook,4.0,1.9,10.882315804880689,0,0,141.21199808219862,Intel Core i3,1000.0,0.0,AMD,Others
Dell,Notebook,8.0,2.04,11.23889064370897,0,0,157.3505121487356,Intel Core i5,0.0,256.0,Intel,Windows
Dell,Notebook,8.0,2.04,10.765658261746038,0,1,127.33567457123112,Intel Core i5,1000.0,128.0,AMD,Others
Lenovo,Notebook,4.0,2.2,10.882315804880689,0,0,141.21199808219862,AMD Processor,500.0,0.0,AMD,Others
Dell,Notebook,8.0,2.04,10.964896292206694,0,0,127.33567457123112,Intel Core i7,1000.0,128.0,AMD,Windows
Lenovo,2 in 1 Convertible,4.0,1.8,10.70060667312884,1,0,157.3505121487356,Intel Core i5,0.0,128.0,Intel,Windows
HP,Notebook,8.0,2.31,11.036037392231934,0,0,141.21199808219862,Intel Core i5,0.0,256.0,Intel,Windows
Dell,Ultrabook,8.0,2.04,10.882315804880689,1,0,141.21199808219862,Intel Core i7,0.0,256.0,Intel,Windows
HP,Notebook,8.0,2.04,10.981350045485636,0,0,141.21199808219862,Intel Core i7,0.0,256.0,Intel,Windows
Lenovo,Notebook,4.0,2.04,10.9368570721423,0,0,141.21199808219862,Intel Core i5,500.0,0.0,Intel,Windows
Dell,Notebook,8.0,2.04,10.633405177560588,0,0,141.21199808219862,Intel Core i7,0.0,256.0,AMD,Others
HP,Notebook,8.0,2.04,10.969494001455322,0,0,141.21199808219862,Intel Core i7,0.0,256.0,Intel,Windows
Dell,Notebook,8.0,2.13,10.619090308798832,0,0,141.21199808219862,Intel Core i7,0.0,256.0,AMD,Windows
MSI,Gaming,8.0,2.04,11.14105450129298,0,0,141.21199808219862,Intel Core i7,1000.0,256.0,Nvidia,Windows
Lenovo,Notebook,8.0,2.2,10.882315804880689,0,0,141.21199808219862,Intel Core i3,0.0,128.0,Intel,Windows
Asus,Ultrabook,8.0,2.04,11.05978744833005,0,1,157.3505121487356,Intel Core i7,0.0,256.0,Nvidia,Windows
Dell,Notebook,8.0,2.04,10.862092668762644,0,0,141.21199808219862,Intel Core i7,1000.0,128.0,AMD,Windows
Lenovo,Notebook,4.0,2.04,10.882315804880689,0,0,141.21199808219862,Other Intel Processor,0.0,0.0,Intel,Windows
HP,Notebook,8.0,2.1,10.780175546294757,0,1,141.21199808219862,Intel Core i7,1000.0,0.0,Intel,Windows
Dell,Gaming,8.0,2.04,10.882315804880689,0,1,127.33567457123112,Intel Core i7,1000.0,256.0,Nvidia,Windows
Dell,Ultrabook,8.0,2.04,10.882315804880689,1,0,141.21199808219862,Intel Core i5,0.0,256.0,Intel,Windows
Asus,Gaming,8.0,2.04,11.175239371923306,0,1,141.21199808219862,Intel Core i7,1000.0,128.0,Nvidia,Windows
Toshiba,Notebook,4.0,1.75,10.794485091507656,0,0,141.21199808219862,Intel Core i5,500.0,0.0,Intel,Windows
Dell,Notebook,4.0,2.25,10.882315804880689,0,0,141.21199808219862,Intel Core i3,1000.0,0.0,Intel,Others
Lenovo,Netbook,4.0,1.59,10.882315804880689,0,1,135.0942111925629,Other Intel Processor,0.0,128.0,Intel,Windows
Asus,Notebook,4.0,2.04,10.882315804880689,0,0,141.21199808219862,Other Intel Processor,1000.0,0.0,Nvidia,Windows
Asus,Ultrabook,8.0,2.04,10.882315804880689,0,0,157.3505121487356,Intel Core i7,0.0,256.0,Intel,Windows
Acer,Notebook,8.0,2.2,10.882315804880689,0,0,141.21199808219862,AMD Processor,1000.0,0.0,AMD,Windows
Lenovo,Notebook,8.0,2.04,10.46628456073464,0,0,141.21199808219862,Intel Core i5,1000.0,0.0,AMD,Windows
Dell,Notebook,4.0,1.8,10.882315804880689,0,0,141.21199808219862,Other Intel Processor,500.0,0.0,Intel,Windows
Lenovo,2 in 1 Convertible,8.0,2.04,10.916751081300507,1,1,141.21199808219862,Intel Core i5,0.0,256.0,Intel,Windows
Dell,Notebook,4.0,2.25,10.882315804880689,0,0,141.21199808219862,Intel Core i3,1000.0,0.0,AMD,Others
HP,Notebook,6.0,2.1,10.882315804880689,0,0,141.21199808219862,AMD Processor,1000.0,0.0,AMD,Windows
HP,Ultrabook,8.0,2.04,10.882315804880689,1,1,141.21199808219862,Other Intel Processor,0.0,256.0,Intel,Windows
Dell,Ultrabook,8.0,2.04,10.882315804880689,0,0,141.21199808219862,Intel Core i7,0.0,256.0,Intel,Windows
HP,2 in 1 Convertible,4.0,2.04,10.62842405558548,1,0,135.0942111925629,Other Intel Processor,0.0,256.0,Intel,Windows
Lenovo,Notebook,4.0,2.1,10.882315804880689,0,0,141.21199808219862,Intel Core i5,0.0,0.0,Intel,Windows
LG,Ultrabook,8.0,2.04,10.882315804880689,0,1,141.21199808219862,Intel Core i7,0.0,256.0,Intel%%,Windows
Dell,Gaming,8.0,2.04,10.882315804880689,0,0,141.21199808219862,Intel Core i7,1000.0,256.0,Nvidia,Windows
Asus,Gaming,8.0,2.1,10.882315804880689,0,0,141.21199808219862,Intel Core i7,1000.0,128.0,Nvidia,Windows
Acer,Notebook,8.0,2.04,10.882315804880689,0,1,127.33567457123112,Intel Core i5,0.0,256.0,Nvidia,Windows
Lenovo,Notebook,8.0,2.3,10.683645110085203,0,0,141.21199808219862,Intel Core i5,1000.0,128.0,Nvidia,Windows
Lenovo,Notebook,4.0,2.04,10.882315804880689,0,0,141.21199808219862,AMD Processor,0.0,128.0,AMD,Windows
HP,Notebook,8.0,1.84,11.148752768718731,0,0,141.21199808219862,Intel Core i7,0.0,256.0,Intel,Windows
Dell,Notebook,6.0,2.3,10.882315804880689,1,0,141.21199808219862,Intel Core i3,1000.0,0.0,Intel,Windows
Dell,Notebook,8.0,2.2,10.79884714858782,0,0,141.21199808219862,Intel Core i7,0.0,256.0,AMD,Windows
Dell,Notebook,8.0,1.64,10.968576149165091,0,0,157.3505121487356,Intel Core i5,0.0,256.0,Nvidia,Others
Lenovo,Notebook,4.0,2.2,10.882315804880689,0,0,141.21199808219862,Intel Core i5,1000.0,0.0,Nvidia,Others
Toshiba,Notebook,8.0,2.04,11.271974295006054,0,0,141.21199808219862,Intel Core i5,0.0,256.0,Intel,Windows
HP,Notebook,8.0,2.04,10.882315804880689,0,0,141.21199808219862,Other Intel Processor,0.0,0.0,Intel,Windows
Dell,Notebook,4.0,1.93,10.742904151497523,0,0,141.21199808219862,Intel Core i5,500.0,0.0,Intel,Others
Dell,Notebook,4.0,1.76,10.602278775481158,0,0,141.21199808219862,Intel Core i5,500.0,0.0,Intel,Windows
Dell,Gaming,8.0,2.04,10.882315804880689,0,0,141.21199808219862,Intel Core i7,1000.0,256.0,Nvidia,Windows
Lenovo,2 in 1 Convertible,4.0,1.8,10.433899309576924,1,1,157.3505121487356,Intel Core i7,0.0,128.0,Intel,Windows
